Iteration,Accuracy
1,0.9621749408983451
2,0.9621749408983451
3,0.9621749408983451
4,0.9621749408983451
5,0.9621749408983451
6,0.9621749408983451
7,0.9621749408983451
8,0.9621749408983451
9,0.9621749408983451
10,0.9621749408983451
11,0.9621749408983451
12,0.9621749408983451
13,0.9621749408983451
14,0.9621749408983451
15,0.9621749408983451
16,0.9621749408983451
17,0.9621749408983451
18,0.9621749408983451
19,0.9621749408983451
20,0.9621749408983451
21,0.9621749408983451
22,0.9621749408983451
23,0.9621749408983451
24,0.9621749408983451
25,0.9621749408983451
26,0.9621749408983451
27,0.9621749408983451
28,0.9621749408983451
29,0.9621749408983451
30,0.9621749408983451
